id_customer;customer_name;type;location_name;country;open_data_site_url;api_dcat_url;api_data_url;longitude;latitude
66;DC Public Charter School Board;Education;not_available;USA;https://data.dcpcsb.org/;https://data.dcpcsb.org/api/dcat.json;https://data.dcpcsb.org/api/data.json;not_available;not_available
67;State of New York Department of Health;State/Province;Albany;USA;https://health.data.ny.gov/;https://health.data.ny.gov/api/dcat.json;https://health.data.ny.gov/api/data.json;-73.75525000018723;-73.75525000018723
68;Department of Transportation;Federal;Washington;USA;https://dot.demo.socrata.com:443/;https://dot.demo.socrata.com:443/api/dcat.json;https://dot.demo.socrata.com:443/api/data.json;-77.00812606199963;-77.00812606199963
69;Energy Star;Federal;Washington;USA;https://data.energystar.gov/;https://data.energystar.gov/api/dcat.json;https://data.energystar.gov/api/data.json;-77.03195999965413;-77.03195999965413
70;Ethics.Gov;Federal;Washington;USA;http://ethics.data.gov/;http://ethics.data.gov/api/dcat.json;http://ethics.data.gov/api/data.json;-77.03195999965413;-77.03195999965413
71;European Commission;International;Belgium;EU;https://inforegio.azure-westeurope-prod.socrata.com/;https://inforegio.azure-westeurope-prod.socrata.com/api/dcat.json;https://inforegio.azure-westeurope-prod.socrata.com/api/data.json;-87.85036732599968;-87.85036732599968
72;Government of Kenya;Federal;Nairobi;KE;https://opendata.go.ke/;https://opendata.go.ke/api/dcat.json;https://opendata.go.ke/api/data.json;36.8166667;36.8166667
73;GSA (Data.gov);Federal;not_available;USA;http://catalog.data.gov/dataset/;http://catalog.data.gov/dataset/api/dcat.json;http://catalog.data.gov/dataset/api/data.json;not_available;not_available
74;International Revenue Service;Federal;Hyattsville;USA;https://irs.demo.socrata.com:443/;https://irs.demo.socrata.com:443/api/dcat.json;https://irs.demo.socrata.com:443/api/data.json;-76.86072615599966;-76.86072615599966
75;King County, WA;County;Seattle;USA;https://data.kingcounty.gov/;https://data.kingcounty.gov/api/dcat.json;https://data.kingcounty.gov/api/data.json;-122.32943999975606;-122.32943999975606
76;Lehman College;Education;New York City;USA;https://bronx.lehman.cuny.edu/;https://bronx.lehman.cuny.edu/api/dcat.json;https://bronx.lehman.cuny.edu/api/data.json;-74.00711999958816;-74.00711999958816
77;Lombardia Informatica;State;Milan;IT;https://www.dati.lombardia.it/;https://www.dati.lombardia.it/api/dcat.json;https://www.dati.lombardia.it/api/data.json;9.2;9.2
78;Medicare;Federal;Baltimore;USA;https://data.medicare.gov/;https://data.medicare.gov/api/dcat.json;https://data.medicare.gov/api/data.json;-76.6092600004485;-76.6092600004485
79;Mexico - SCT;International;Mexico;MX;https://nats.demo.socrata.com/;https://nats.demo.socrata.com/api/dcat.json;https://nats.demo.socrata.com/api/data.json;-99.11415045099966;-99.11415045099966
80;State of Missouri;State;Jefferson City;USA;https://data.mo.gov/;https://data.mo.gov/api/dcat.json;https://data.mo.gov/api/data.json;-92.17125642599967;-92.17125642599967
